Type,Name,Longitude,Latitude
Supermarkets,Meny Søborg,12.5109259,55.7364276
Supermarkets,Fynda Factory Outlet,12.4654469,56.9064726
Supermarkets,Willys Landvetter,12.2101395,57.6870939
Supermarkets,Tempo Skår,12.0031514,57.6941836
Supermarkets,Hemköp Göteborg Torslanda C,11.7670558,57.7237694
Supermarkets,SuperBrugsen Bullerup,10.4764163,55.4280848
Supermarkets,Afghan livsmedel,11.9465271,57.6992190
Supermarkets,Hemköp Göteborg Majorna,11.9184296,57.6929373
Supermarkets,Coop Lomma,13.0689566,55.6728616
Supermarkets,Willys Hemma Lomma Centrum,13.0700810,55.6734644
Supermarkets,Ica Nära Harlösa,13.5280807,55.7165432
Supermarkets,Shammars Livs & Fika,12.0560602,57.7609463
Supermarkets,Emmaus Växjö,14.8065152,56.8788749
Supermarkets,ICA Kvantum Malmborgs Caroli,13.0078761,55.6062325
Supermarkets,Stora Coop Bäckebol,12.0008495,57.7694640
Supermarkets,Matöppet Glumslöv,12.8105528,55.9439227
Supermarkets,Willys Hemma Göteborg Sten Sturegatan,11.9841742,57.7008794
Supermarkets,Meny Rungsted,12.5286741,55.8832718
Supermarkets,Gottepåsen,11.9472630,57.7180170
Supermarkets,Nah & Frisch Thordsen,9.3298823,54.6909692
Supermarkets,Willys Råslätt,14.1515541,57.7395128
Supermarkets,Meny Frederikssund,12.0569185,55.8381612
Supermarkets,Meny Thorsø,9.7908547,56.2974553
Supermarkets,Letkøb Serritslev,9.9752258,57.3137361
Supermarkets,Hauge Minimarked,9.3734788,56.2583952
Supermarkets,LetKøb,10.1816060,56.1408206
Supermarkets,Toreby Købmandshandel,11.7823952,54.7550330
Supermarkets,fakta Harrislee,9.3778189,54.7943414
Supermarkets,Vestegnens Bazar,12.4224497,55.6216452
Supermarkets,Al Baraka Markt,9.4252920,54.8051668
Supermarkets,Al Noor Markt,9.4229981,54.7996017
Supermarkets,ICA Malmborgs,13.0046755,55.5799059
Supermarkets,Spar Karrebæksminde,11.6459620,55.1780618
Supermarkets,WiLLY:S,12.9728113,55.5645480
Supermarkets,ICA Kvantum Karlssons,13.2339140,55.5065149
Supermarkets,LIDL Dyssegård,12.5223325,55.7388581
Supermarkets,Willys Göteborg Gamlestaden,12.0088508,57.7432765
Supermarkets,SuperBrugsen Svenstrup J,9.8513478,56.9731981
Supermarkets,Meny Skørping,9.8897193,56.8356238
Supermarkets,Irma Østerport Station,12.5882721,55.6920856
Supermarkets,SuperBrugsen Ullerød,12.2755275,55.9397799
Supermarkets,SuperBrugsen Herstedvester,12.3388195,55.6702909
Supermarkets,SuperBrugsen Smørumnedre,12.3057925,55.7327803
Supermarkets,ICA Supermarket Bellevuegården,12.9762056,55.5807856
Supermarkets,Coop Nobeltorget,13.0199935,55.5923340
Supermarkets,Stora Coop Landskrona,12.8575143,55.8738189
Supermarkets,MENY Skibby,11.9590751,55.7521166
Supermarkets,Føtex Nørresundby Butikscenter,9.9180331,57.0598224
Supermarkets,Coop365 Sønderport,9.9244480,57.0579400
Supermarkets,Willys Eslöv,13.3233284,55.8417785
Supermarkets,Coop Göteborg Andra Långgatan,11.9462649,57.6988256
Supermarkets,ICA Nära Mathuset,13.1121289,55.6537847
Supermarkets,365discount Tagensvej,12.5514610,55.7013890
Supermarkets,ÖoB,12.7641042,56.0940516
Supermarkets,Mat Öppet,14.2816986,55.4728150
Supermarkets,Coop Xtra,14.0019627,56.3853586
Supermarkets,Maxi ICA Stormarknad,12.8062871,56.6790042
Supermarkets,Føtex Frederiksberg Centeret,12.5323765,55.6818426
Supermarkets,365discount Skjern,8.4939154,55.9465583
Supermarkets,Hemköp Veddige C,12.3339104,57.2669258
Supermarkets,Handlarn Skällinge,12.4684337,57.1827393
Supermarkets,Hemköp Kungsbacka Hålabäck,12.0876000,57.4847000
Supermarkets,Willys Båstad,12.8864646,56.4262922
Supermarkets,Elite Købmand,12.5244089,55.7625320
Supermarkets,Supermarco,12.5468164,55.6554360
Supermarkets,Coop Knutpunkten,12.6947474,56.0449550
Supermarkets,ICA Nära Bara,13.1763138,55.5783313
Supermarkets,Wefood,12.6103299,55.6552817
Supermarkets,EDEKA Rasmussen,8.3018059,54.9092156
Supermarkets,Spotdiscount,9.4216938,54.8087097
Supermarkets,Willys Älmhult,14.1603706,56.5522826
Supermarkets,Indo Pak General Store,13.0075753,55.5841516
Supermarkets,ICA Supermarket Torghallen,13.0430525,56.5128119
Supermarkets,Coop Anderstorp,13.6274159,57.2752922
Supermarkets,ICA nära Dackehallen,14.4510138,56.7872485
Supermarkets,ICA nära Lidhult,13.4376055,56.8268173
Supermarkets,Najlalivs,12.9822131,55.5886368
Supermarkets,ICA Nära Lorensborg,12.9826643,55.5863181
Supermarkets,Willys Karlshamn,14.8640824,56.1703863
Supermarkets,Coop Atollen Jönköping,14.1731738,57.7802533
Supermarkets,99:ans Livs,13.0259886,55.5933491
